"siteID","PD","SR","MPD"
"ABBY",2.961394971,41,0.215146042164779
"BARR",0.448025689,9,0.0407004559084868
"BART",2.284553501,32,0.163810729812723
"BLAN",5.264909164,89,0.184690520759957
"BONA",2.056252718,24,0.108732188407244
"CLBJ",4.50986255,60,0.249490670403516
"CPER",3.815058003,63,0.109286788458867
"DCFS",5.102687863,74,0.193324594991654
"DEJU",2.341906424,28,0.195716775143513
"DELA",4.35530074,52,0.187147530441027
"DSNY",2.625157737,37,0.192689093281236
"GRSM",4.156857486,59,0.179530420850697
"HARV",3.21979406,41,0.218828596719053
"HEAL",2.043531693,28,0.148187236004032
"JERC",3.762284299,49,0.223157501129128
"JORN",1.824293124,23,0.124980174978819
"KONA",5.628935497,84,0.187759028586757
"KONZ",5.152818884,78,0.160240156397355
"LENO",3.871187672,52,0.205550331886357
"MLBS",3.82818216,59,0.196010522918237
"MOAB",1.316510895,18,0.190526562064838
"NIWO",3.194527806,44,0.20707771800373
"NOGP",5.329516254,80,0.132786093556498
"OAES",4.32403952,62,0.164447274857009
"ONAQ",1.011852503,17,0.097802885882329
"ORNL",5.649094513,95,0.182919616035428
"OSBS",3.342091246,51,0.135271999904553
"RMNP",2.390919648,36,0.133793112169897
"SCBI",4.726179269,85,0.176020653417757
"SERC",5.639610536,92,0.162539690706126
"SJER",1.292241063,16,0.140292335771424
"SOAP",1.870921,24,0.221980363622908
"SRER",2.557895545,32,0.0446382078874009
"STEI",3.29053763,48,0.163633267705485
"STER",4.140808068,67,0.156534282203279
"TALL",3.927333844,54,0.208588646146183
"TEAK",1.474887098,18,0.111122510916803
"TOOL",1.960880665,29,0.166262766785326
"TREE",4.024674754,58,0.191673909071593
"UKFS",5.281446488,77,0.222533160842275
"UNDE",2.727041024,36,0.170957658280477
"WOOD",6.1758103,100,0.206140412049063
"WREF",1.310575533,15,0.188655925465831
"YELL",2.455614864,37,0.18977241198166
