"siteID","meanLat","meanLon","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","PD","SR","MPD","mean_consecutive_turnover","sd_consecutive_turnover","mean_all_pairs_bc","season_length_weeks","n_years","H_plant_bc","n_plots","seasonLength","lat","lon","H_habitat","lat_sc","lon_sc","mean_spatial_turnover","partitioning_ratio"
"ABBY",45.759502878251,-122.347001115341,42,-0.46077460703957,10.7559199892345,51.4066578642955,3.4500358467312,2.961394971,41,1.024939753023,0.335471239643275,0.11409649205258,0.436807762071895,8.375,8,0.558020777723751,10,0.37611385652551,45.7593561621167,-122.3439420081,-0.615684708996025,0.366162260722301,-0.907690003844516,0.406340227913356,1.21125205351565
"BARR",71.2511671352041,-156.460675747449,9,-1.76089464488721,0.235702260395516,9.9375,1.34304845338721,0.448025689,9,-2.87837504292499,0.152765444746066,0.0676647451827442,0.177601444193676,3,4,0.361111111111111,2,-2.87773534051463,71.2514551763827,-156.465131350915,-2.7618215161218,2.8524220682509,-2.46671661810819,0.32828180025131,2.14892707442443
"BART",44.0521714292276,-71.3017727727118,33,-0.547449276229412,16.0959896357118,60.5,4.31462144252775,2.284553501,32,-0.123715759326858,0.256988513933057,0.0887790517662129,0.421404761767106,8.9,10,0.573219650945965,13,-0.644269106085364,44.0521766152535,-71.3011531109478,-0.450030773309874,0.199660008819648,1.42449911059087,0.512121874371344,1.99278118128169
"BLAN",39.0854830429568,-77.9645457160391,92,1.07368805491394,9.73336548742514,105.869892473118,5.1402737822271,5.264909164,89,0.343480910360735,0.444929924679304,0.111468420555029,0.630345597151034,11.8888888888889,9,0.659323753620358,11,0.397009070776927,39.0854042217505,-77.9646039498743,0.488425866086973,-0.284752301370997,1.1200402860068,0.59403581872179,1.33512219738863
"BONA",65.172113372434,-147.504209524927,26,-0.872479285691322,11.1540776539232,36.3387428571429,2.78350594278558,2.056252718,24,-1.35612805602654,0.482292909905255,0.252917973236616,0.507318746955024,5,7,0.57658219938526,10,-1.38024498582973,65.1764258952209,-147.504769410924,-0.413382044502108,2.25992079470496,-2.05730994129135,0.50698958256651,1.05120679187697
"CLBJ",33.3877652347222,-97.598531875,65,0.405972084858856,11.6110209231707,87.3619528619528,5.08972510100913,4.50986255,60,1.79341947465172,0.571343177476314,0.191899416354866,0.747122634842372,13.1428571428571,7,0.76180138581258,11,1.10396381961654,33.3795561289181,-97.5987299315313,1.60533912960629,-0.841247110728752,0.222940110345576,0.745053001612826,1.30403762744452
"CPER",40.8252939663519,-104.720488886695,63,0.174839633685943,9.63103592923292,75.7830076060908,4.47366179634248,3.815058003,63,-1.34371857847087,0.332868520300928,0.126230383996636,0.514833532400069,10.9166666666667,12,0.466544280068544,10,-0.193861154443704,40.8269608870414,-104.719025451486,-1.61269558196143,-0.114897228353147,-0.102392342327824,0.415911101225494,1.24947562133389
"DCFS",47.1856433448819,-99.1255815538058,77,0.781562318014841,13.4947701040205,87.4247683729312,4.52462856410505,5.102687863,74,0.536673013532566,0.419301431992087,0.0729218916297868,0.517609349977722,8.28571428571429,7,0.561384685586942,10,-0.634982344195846,47.1863033981088,-99.1263594689587,-0.579021163700527,0.50533328615751,0.153141397245148,0.453848505378131,1.08239197567705
"DEJU",63.8960814930966,-145.754711522682,34,-0.903778471787653,4.48747132505,39.9487179487179,3.03645995894791,2.341906424,28,0.590199344474559,0.534363987624343,0.193353973777275,0.626155441322046,6.125,8,0.578804277510454,10,-1.29085990264311,63.8839601928667,-145.75314849998,-0.389163407932227,2.1338658344377,-1.97727686885572,0.638646437178905,1.19515246530399
"DELA",32.5305303112903,-87.8123724387097,60,0.496774119248214,16.4995836567956,86.565852353425,5.00915954427638,4.35530074,52,0.398457837250807,0.49301171604513,0.14243209276327,0.609933846818316,10,9,0.575993188469122,12,1.17361453378793,32.5310895861875,-87.8133112151924,-0.419801729369126,-0.9239985648967,0.670044343941078,0.611723427514698,1.24078882429378
"DSNY",28.0751846600385,-81.411953274535,44,-0.412622013045212,7.99771540487833,61.9381886589627,4.07795388703153,2.625157737,37,0.522453317394881,0.393420017875338,0.173347801075644,0.466409735649966,10.7,10,0.726509443013836,15,1.31291596213072,28.0748625154667,-81.4103641095666,1.22068895606067,-1.3586170815184,0.962600527932802,0.498210895620516,1.26635878446425
"GRSM",35.6862192479072,-83.4841674092466,64,0.45962783245257,13.8790828339838,86.1801670710304,4.94754167455804,4.156857486,59,0.228020870604883,0.294097869256431,0.0823750144957639,0.424796142834571,10.2,10,0.64652756380921,14,0.648912487030124,35.6860063919828,-83.4889880185097,0.348959000812672,-0.616297624069668,0.867626406060073,0.539488076334781,1.83438281174485
"HARV",42.4402142698609,-72.2500225554869,43,-0.2489031934644,15.0580760898834,58.7632129774987,3.49700507269762,3.21979406,41,1.10733891248046,0.345878807975538,0.09908670938881,0.524121292523907,9.18181818181818,11,0.647607588894052,12,-0.325036666133157,42.4394591598756,-72.2490514683642,0.360730294863758,0.0423707017303363,1.38118881586516,0.462559628412644,1.33734596554224
"HEAL",63.8803543626374,-149.244834808791,30,-0.951931065782011,6.64139353660872,36.7614089870809,2.99073585538217,2.043531693,28,-0.473299923974449,0.468434297586812,0.198023056099843,0.541516527996683,6,8,0.580604377465978,14,-1.38488836677449,63.8814314794903,-149.243673425216,-0.369543950759231,2.13361920749541,-2.13676196773431,0.5625753287635,1.20096955253205
"JERC",31.1949162210744,-84.4710682252066,52,0.791192836813711,31.8271337143349,67.6429290711241,4.16726725929061,3.762284299,49,1.20420050122404,0.696151992344438,0.27686505150152,0.754836118081815,9.7,10,0.575943270264756,11,1.2688038431555,31.1949677455509,-84.465291171792,-0.420345792530566,-1.05431133468771,0.823018271675767,0.805920725468827,1.15767926305105
"JORN",32.605413208589,-106.831752369632,24,-1.00971417857524,8.8633434517036,45.4487777777778,4.23647057658434,1.824293124,23,-0.992570526425215,0.41505934234909,0.276463191719103,0.470908074994444,10.625,8,0.521472434174509,10,0.953053938911863,32.6052223527183,-106.829678418549,-1.01402851140979,-0.916768351419832,-0.198829899532131,0.367816794490806,0.886178810984213
"KONA",39.1482142905222,-96.6274285736944,87,1.82743665957227,28.169271653088,112.520428355256,5.24555954136404,5.628935497,84,0.412140440583722,0.492918189964849,0.165177227301107,0.644460374183263,10,8,0.642366388642848,10,0.0533988808647328,39.1548568617532,-96.6245410710697,0.303605964879728,-0.277978543460015,0.267451640864623,0.436229573756941,0.884993864373415
"KONZ",39.0949394436019,-96.5640399582938,81,1.81202782949409,25.9020711124457,140.613351473923,6.66547917101253,5.152818884,78,-0.203609279944503,0.371249304799633,0.151960927318476,0.49035225014231,9.77777777777778,9,0.651021138690422,10,0.0394687380304548,39.0951907265169,-96.5644109684301,0.397934892215283,-0.283797817652596,0.270199037193389,0.437506074739414,1.17846974818051
"LENO",31.8154259077844,-88.1859832742515,54,-0.2489031934644,5.67463891438144,66.1579512384401,4.14640099987433,3.871187672,52,0.810230520699017,0.622473485234076,0.175843013307279,0.733776524733726,11.25,8,0.506210498532904,10,1.25255200984884,31.8148285338703,-88.1867367465354,-1.1803697702819,-0.993855937766535,0.652982208856622,0.589961139262247,0.947769107049431
"MLBS",37.3794882780423,-80.5263498227513,66,0.644327425130923,15.4687423010575,92.3514610942605,4.75730094113364,3.82818216,59,0.596772110572937,0.324175785094326,0.079090960356211,0.44065319646653,9.71428571428571,7,0.605531353375461,10,0.0917067736589979,37.3810401665724,-80.5279369235909,-0.0978625172879252,-0.450979956669777,1.00291938828272,0.346542753943797,1.06899642070108
"MOAB",38.2386019673286,-109.400819222934,20,-1.35641285533461,4.56832192576129,23.4819944598338,2.2497763508992,1.316510895,18,0.47406550618787,0.315959150565307,0.187812994584989,0.525379769880174,10.75,8,0.576062113692089,11,0.0533988808647328,38.2423655805644,-109.396685127668,-0.41905050694062,-0.36697436902425,-0.31611865340004,0.462011772065945,1.46225159562343
"NIWO",40.046435408953,-105.564082175645,49,-0.0418470392886638,14.7354406679553,60.6966563786008,3.94857227078824,3.194527806,44,0.844406615142063,0.231655422535563,0.070496576573062,0.287431728520535,5.9,10,0.746635340587543,11,-1.28389483122597,40.0464449704786,-105.563932267404,1.44004298932073,-0.191021416926259,-0.140996864560455,0.633354022090235,2.73403495224898
"NOGP",46.7944900165729,-100.913588289243,84,1.77109812459888,24.9369060601785,119.981034646837,5.75755160296915,5.329516254,80,-0.817908856078019,0.343619019278015,0.0740457289164476,0.459466331711371,9,8,0.626506180157191,10,-0.545597261009228,46.7930936208052,-100.913566996005,0.130744074525117,0.466983299179585,0.0714823415808294,0.452824757274859,1.31781051650255
"OAES",35.4133953648649,-99.0643192804054,68,0.385747995381226,9.56149637060738,85.219499057366,4.62115358253714,4.32403952,62,-0.10947271802687,0.393744926540591,0.164767565522361,0.553506895855886,13.5,8,0.519741018599697,10,0.762675320176729,35.4131548289186,-99.0641428923112,-1.03289937111647,-0.642909001747445,0.155984126373585,0.423998414865153,1.0768352460827
"ONAQ",40.1798333147208,-112.468518998308,18,-1.47197908092107,1.80803922743762,20.5457641549596,2.28644185760579,1.011852503,17,-1.60067713961423,0.463047360422959,0.224721932216807,0.566437289730359,9.16666666666667,6,0.665766478595573,17,-0.240294963891298,40.1811460221575,-112.469822310646,0.558645726012377,-0.177883942031248,-0.45653294580379,0.445471089011589,0.962042173406808
"ORNL",35.9433187468761,-84.2676445630132,103,2.04701248818654,19.4410655309135,132.072147966426,5.81449481452642,5.649094513,95,0.303855954740977,0.498209407765722,0.143743970839934,0.640761572580059,12.2727272727273,11,0.65366860715176,13,0.75338855828721,35.9430116918078,-84.2671094657533,0.426789897702441,-0.59123174201268,0.832073365010006,0.626780033237515,1.25806543085644
"OSBS",29.6913392803083,-81.9715742824107,60,0.726668360861274,18.3122918846714,103.324062276958,6.02235273933011,3.342091246,51,-0.762285350560097,0.385473939463099,0.157819937658612,0.413030965334683,12.7,10,0.791827650688194,12,1.30595089071358,29.6923647829062,-81.9762322763523,1.9325981887404,-1.20086110881994,0.936745522606934,0.597323282030861,1.54958149145655
"RMNP",40.179752017762,-105.50993798579,37,-0.634123945419255,8.86809590611198,46.1402191772562,3.2239226830869,2.390919648,36,-0.795376267333123,0.240314424721064,0.0839910195677431,0.303751519706262,7.5,8,0.736562526421569,10,-0.6744510822263,40.1811214963687,-105.507554353581,1.33025844900428,-0.177886334046241,-0.138420908979796,0.632346392747321,2.63132932399415
"SCBI",38.8906069228142,-78.1403317373634,90,0.926020099997912,7.95994876326007,104.160317424252,5.12200350964208,4.726179269,85,0.149487916889426,0.446548228343297,0.117546918891853,0.612574483595188,11.6,10,0.627109386865436,12,0.329680047077916,38.8901660112462,-78.1395458673547,0.137318480653266,-0.303794001915114,1.11204703868584,0.511182550437002,1.14474208605306
"SERC",38.8870393267279,-76.547816341711,97,1.22360313088304,9.56245358272743,113.266272723851,5.36606494456835,5.639610536,92,-0.152155950090524,0.450422158747669,0.154556187210642,0.637740465275702,13.125,8,0.589391354573281,11,0.660520939392022,38.8882810276312,-76.5485100366317,-0.273773868376979,-0.303977845505132,1.18474284009602,0.463630903826384,1.02932525592311
"SJER",37.1095461070381,-119.738909601173,22,-1.24084662974815,6.00347121810929,27.3678385416667,2.74131039931083,1.292241063,16,-0.649952607208276,0.394774073108849,0.251707212578437,0.496291083219287,10.8888888888889,9,0.511681219418956,10,1.29782497406025,37.1081505000784,-119.740375716298,-1.12074387350881,-0.477595050598062,-0.788730811064403,0.415210787271904,1.05176812651884
"SOAP",37.0321899027778,-119.26644058547,29,-1.11083462596339,3.15442495954442,32.4320746527778,2.58833351740969,1.870921,24,1.17786140980018,0.418312471217262,0.165215523598956,0.534595696155798,9.33333333333333,6,0.621133169797692,12,0.970466617454711,37.0321662087884,-119.266644615894,0.0721831338869255,-0.485005844402536,-0.767085627887629,0.570653766399078,1.36418062014387
"SRER",31.847899233945,-110.858764557339,33,-0.634123945419255,12.8199786213493,49.1724137931034,3.01931428616594,2.557895545,32,-2.79026570240269,0.349070017469818,0.166123974189995,0.438368650606419,11,7,0.569479333924376,10,1.30595089071358,31.8497747582227,-110.858252727676,-0.490796837101665,-0.990447611406916,-0.382898939516797,0.374716979998829,1.07347225841655
