"siteID","meanLat","meanLon","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","PD","SR","MPD","mean_spatial_turnover","sd_spatial_turnover","n_plots.x","H_plant_bc","n_plots.y","seasonLength"
"ABBY",45.759502878251,-122.347001115341,42,54,10.7559199892345,51.4066578642955,3.4500358467312,2.961394971,41,0.215146042164779,0.406340227913356,0.113591104115385,10,0.558020777723751,10,284.3
"BARR",71.2511671352041,-156.460675747449,9,9,0.235702260395516,9.9375,1.34304845338721,0.448025689,9,0.0407004559084868,0.32828180025131,0.117767263080272,10,0.361111111111111,2,4
"BART",44.0521714292276,-71.3017727727118,33,51,16.0959896357118,60.5,4.31462144252775,2.284553501,32,0.163810729812723,0.512121874371344,0.307103669835742,13,0.573219650945965,13,196.4
"BLAN",39.0854830429568,-77.9645457160391,92,107.111111111111,9.73336548742514,105.869892473118,5.1402737822271,5.264909164,89,0.184690520759957,0.59403581872179,0.203665402449024,11,0.659323753620358,11,286.1
"BONA",65.172113372434,-147.504209524927,26,39.75,11.1540776539232,36.3387428571429,2.78350594278558,2.056252718,24,0.108732188407244,0.50698958256651,0.150833561757729,10,0.57658219938526,10,133
"CLBJ",33.3877652347222,-97.598531875,65,84,11.6110209231707,87.3619528619528,5.08972510100913,4.50986255,60,0.249490670403516,0.745053001612826,0.171672612145461,11,0.76180138581258,11,347
"CPER",40.8252939663519,-104.720488886695,63,76,9.63103592923292,75.7830076060908,4.47366179634248,3.815058003,63,0.109286788458867,0.415911101225494,0.11036500192249,10,0.466544280068544,10,235.2
"DCFS",47.1856433448819,-99.1255815538058,77,97,13.4947701040205,87.4247683729312,4.52462856410505,5.102687863,74,0.193324594991654,0.453848505378131,0.0668760141290798,10,0.561384685586942,10,197.2
"DEJU",63.8960814930966,-145.754711522682,34,38.6666666666667,4.48747132505,39.9487179487179,3.03645995894791,2.341906424,28,0.195716775143513,0.638646437178905,0.157544936058411,10,0.578804277510454,10,140.7
"DELA",32.5305303112903,-87.8123724387097,60,87.1428571428571,16.4995836567956,86.565852353425,5.00915954427638,4.35530074,52,0.187147530441027,0.611723427514698,0.149202782041381,12,0.575993188469122,12,353
"DSNY",28.0751846600385,-81.411953274535,44,55.6666666666667,7.99771540487833,61.9381886589627,4.07795388703153,2.625157737,37,0.192689093281236,0.498210895620516,0.13891011694763,15,0.726509443013836,15,365
"GRSM",35.6862192479072,-83.4841674092466,64,85.8571428571429,13.8790828339838,86.1801670710304,4.94754167455804,4.156857486,59,0.179530420850697,0.539488076334781,0.190859165361907,14,0.64652756380921,14,307.8
"HARV",42.4402142698609,-72.2500225554869,43,61.3333333333333,15.0580760898834,58.7632129774987,3.49700507269762,3.21979406,41,0.218828596719053,0.462559628412644,0.206361482988508,12,0.647607588894052,12,223.9
"HEAL",63.8803543626374,-149.244834808791,30,37,6.64139353660872,36.7614089870809,2.99073585538217,2.043531693,28,0.148187236004032,0.5625753287635,0.202624543860621,12,0.580604377465978,14,132.6
